iter	Passed	Remaining
0	145	144889
1	146	73160
2	148	49236
3	149	37172
4	150	30002
5	152	25193
6	153	21757
7	154	19178
8	155	17173
9	157	15640
10	159	14351
11	161	13271
12	162	12357
13	164	11570
14	165	10887
15	167	10289
16	168	9762
17	170	9293
18	172	8881
19	173	8505
20	175	8163
21	176	7856
22	178	7572
23	179	7310
24	181	7071
25	182	6849
26	184	6643
27	185	6456
28	187	6281
29	189	6117
30	190	5962
31	192	5815
32	193	5677
33	195	5548
34	196	5427
35	198	5311
36	199	5196
37	201	5096
38	202	4999
39	204	4907
40	205	4817
41	207	4733
42	209	4652
43	210	4574
44	212	4501
45	213	4432
46	215	4365
47	216	4294
48	217	4227
49	219	4167
50	220	4109
51	222	4054
52	223	4000
53	225	3948
54	226	3897
55	228	3849
56	229	3803
57	231	3760
58	233	3716
59	234	3674
60	235	3630
61	237	3587
62	238	3545
63	239	3505
64	241	3467
65	242	3430
66	243	3392
67	244	3357
68	245	3314
69	246	3280
70	247	3241
71	249	3210
72	250	3180
73	251	3151
74	253	3122
75	254	3093
76	256	3078
77	258	3050
78	259	3022
79	260	2997
80	261	2964
81	262	2939
82	263	2914
83	264	2889
84	266	2866
85	267	2843
86	268	2820
87	270	2799
88	271	2778
89	272	2757
90	273	2736
91	275	2717
92	276	2699
93	278	2679
94	278	2655
95	279	2636
96	281	2618
97	282	2600
98	283	2583
99	285	2572
100	287	2555
101	288	2538
102	289	2522
103	290	2506
104	292	2491
105	293	2475
106	294	2460
107	296	2445
108	297	2431
109	298	2417
110	299	2402
111	301	2388
112	301	2368
113	303	2355
114	304	2341
115	305	2329
116	306	2316
117	308	2303
118	309	2291
119	310	2278
120	311	2264
121	313	2258
122	315	2249
123	317	2241
124	319	2236
125	321	2228
126	322	2217
127	323	2206
128	325	2195
129	326	2185
130	327	2174
131	329	2164
132	330	2153
133	331	2143
134	332	2133
135	334	2122
136	335	2113
137	336	2103
138	338	2094
139	339	2084
140	340	2076
141	342	2066
142	343	2057
143	344	2048
144	345	2039
145	347	2030
146	348	2022
147	350	2014
148	351	2006
149	352	1997
150	353	1990
151	355	1982
152	356	1975
153	358	1968
154	359	1961
155	361	1954
156	363	1949
157	364	1944
158	366	1937
159	367	1930
160	369	1925
161	371	1919
162	372	1913
163	373	1906
164	375	1900
165	377	1896
166	379	1892
167	380	1886
168	382	1882
169	385	1880
170	387	1877
171	388	1871
172	390	1865
173	391	1858
174	393	1855
175	395	1850
176	396	1844
177	398	1839
178	399	1833
179	401	1828
180	402	1823
181	404	1817
182	405	1811
183	407	1805
184	408	1798
185	409	1792
186	411	1788
187	413	1784
188	414	1779
189	416	1775
190	418	1771
191	419	1766
192	422	1764
193	424	1762
194	425	1756
195	426	1751
196	428	1745
197	429	1740
198	431	1735
199	432	1730
200	434	1725
201	435	1721
202	437	1716
203	439	1715
204	443	1719
205	445	1716
206	447	1712
207	448	1708
208	451	1707
209	453	1704
210	454	1701
211	456	1697
212	458	1692
213	459	1687
214	460	1682
215	462	1677
216	463	1673
217	465	1668
218	466	1664
219	468	1659
220	469	1654
221	470	1650
222	472	1645
223	473	1640
224	474	1636
225	476	1632
226	478	1628
227	479	1624
228	481	1619
229	482	1614
230	483	1610
231	484	1605
232	486	1600
233	487	1595
234	488	1590
